id,title,description,mediaUrl,memoryObject,location,visualCue,updatedAt,strength,repetitions,lastReviewed
910,Enzyme Kinetics,Explores enzymatic reaction kinetics using the Michaelis-Menten model covering substrate concentration effects maximum reaction rates and inhibition mechanisms in biochemical systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide98.jpg,TowelRack_Apt_02,,,,,,
911,Polymerization Kinetics,Introduces the kinetics of polymerization reactions including chain-growth and step-growth mechanisms molecular weight distributions and rate expressions for polymer synthesis.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide99.jpg,BathroomMat_01 (1),,,,,,
912,Solving Ordinary Differential Equations,Covers numerical and analytical methods for solving ODEs encountered in reactor design including initial value problems and the use of software tools for reaction engineering applications.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide100.jpg,BathroomMat_01,,,,,,
913,Residence Time Distribution,Covers the theory and application of residence time distribution analysis for characterizing non-ideal flow patterns in reactors including step and pulse tracer experiments.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide101.jpg,Lamp_Floor_Apt_03,,,,,,
914,Polymerization Reactors,Explores reactor design for polymerization processes covering conversion molecular weight control and the design of batch CSTR and tubular reactors for polymer production.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide102.jpg,Window_Frame_Apt_01 (4),,,,,,
915,Single-Stage Batch Distillation,Covers the fundamentals of single-stage batch distillation including Rayleigh equation differential distillation and the effect of relative volatility on separation efficiency.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide103.jpg,Drawer_Fridge,,,,,,
916,Multistage Batch Distillation,Extends batch distillation concepts to multistage columns exploring the role of reflux ratio number of stages and column efficiency in achieving desired product purity.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide104.jpg,,,,,,,
917,McCabe-Thiele Diagrams,Introduces the McCabe-Thiele graphical method for binary distillation column design covering operating lines q-lines equilibrium stages and the minimum reflux ratio concept.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide105.jpg,Lamp_Wall_Apt_01,,,,,,
918,Absorption Columns,Covers the design and analysis of absorption columns for removing gaseous components including number of transfer units height of a transfer unit and operating line construction.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide106.jpg,,,,,,,
919,Stripping Columns,Examines stripping column design for removing dissolved gases from liquids covering equilibrium stages operating lines and the use of stripping factor to optimize column performance.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide107.jpg,Cabinet_Wall_Corner_01,,,,,,
920,Hunter-Nash Method for Liquid-Liquid Extraction,Applies the Hunter-Nash graphical method to liquid-liquid extraction design covering extraction stages solvent selection and the determination of raffinate and extract compositions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide108.jpg,,,,,,,
921,Single-Effect Evaporators,Covers the design and analysis of single-effect evaporators including energy and mass balances boiling point elevation and steam economy for concentrating liquid solutions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide109.jpg,,,,,,,
922,Multi-Effect Evaporators,Extends evaporation concepts to multi-effect systems analyzing the trade-offs between steam economy and capital cost for concentrating solutions in food and chemical industries.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide110.jpg,,,,,,,
923,Lumped Capacitance Method for Analyzing Transient Conduction Problems,Covers lumped capacitance analysis for transient heat conduction including the Biot number criterion exponential temperature decay and applications in quenching and cooling.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide111.jpg,CandelSetting_apt_01,,,,,,
924,Transient Conduction in a Sphere with Spatial Effects,Extends transient conduction analysis to spherical geometries with significant internal temperature gradients using one-term approximation and Heisler charts for temperature distribution.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide112.jpg,,,,,,,
925,Transient Conduction into a Semi-Infinite Solid,Covers transient heat conduction in semi-infinite solids subjected to sudden surface temperature changes including error function solutions and penetration depth estimation.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide113.jpg,,,,,,,
926,Convective Heat Transfer over a Flat Plate,Examines external forced convection heat transfer over a flat plate covering boundary layer development local and average Nusselt number correlations and laminar-to-turbulent transition.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide114.jpg,,,,,,,
927,Free Convection,Covers natural convection heat transfer driven by buoyancy forces including the Grashof and Rayleigh numbers vertical plate correlations and applications in electronic cooling and building insulation.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide115.jpg,,,,,,,
928,,,,,,,,,,
929,,,,,,,,,,
